Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","454","Malawi","5157","Agricultural Use","4002","Ammonium sulphate","2016","2016","t","821","I","Imputed value"
"RFB","Fertilizers by Product","454","Malawi","5157","Agricultural Use","4021","NPK fertilizers","2012","2012","t","89701","A","Official figure"
"RFB","Fertilizers by Product","454","Malawi","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","85971","A","Official figure"
"RFB","Fertilizers by Product","454","Malawi","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","179699","A","Official figure"
"RFB","Fertilizers by Product","454","Malawi","5157","Agricultural Use","4021","NPK fertilizers","2015","2015","t","109685","A","Official figure"
"RFB","Fertilizers by Product","454","Malawi","5157","Agricultural Use","4021","NPK fertilizers","2016","2016","t","109685","I","Imputed value"
"RFB","Fertilizers by Product","454","Malawi","5157","Agricultural Use","4001","Urea","2012","2012","t","89366","A","Official figure"
"RFB","Fertilizers by Product","454","Malawi","5157","Agricultural Use","4001","Urea","2013","2013","t","90136","A","Official figure"
"RFB","Fertilizers by Product","454","Malawi","5157","Agricultural Use","4001","Urea","2014","2014","t","188596","A","Official figure"
"RFB","Fertilizers by Product","454","Malawi","5157","Agricultural Use","4001","Urea","2015","2015","t","107814","A","Official figure"
"RFB","Fertilizers by Product","454","Malawi","5157","Agricultural Use","4001","Urea","2016","2016","t","107814","I","Imputed value"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2012","2012","t","50","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2013","2013","t","25","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2014","2014","t","50","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2015","2015","t","37","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2016","2016","t","132","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2017","2017","t","27","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2018","2018","t","0","A","Official figure"
