country_iso,year,fertilizer_type,unit,tonnes
MUS,2020,"Superphosphates, other",t,110
MUS,2021,"Superphosphates, other",t,212
MUS,2022,"Superphosphates, other",t,166
MUS,2012,Urea,t,14499
MUS,2013,Urea,t,9452
MUS,2014,Urea,t,13962
MUS,2015,Urea,t,6736
MUS,2016,Urea,t,9530
MUS,2017,Urea,t,7402
MUS,2018,Urea,t,7247
MUS,2019,Urea,t,9114
MUS,2020,Urea,t,5741
MUS,2021,Urea,t,2748
MUS,2022,Urea,t,4775
MUS,2012,Urea and ammonium nitrate solutions (UAN),t,3
MUS,2014,Urea and ammonium nitrate solutions (UAN),t,1
TZA,2013,Superphosphates above 35%,t,728
TZA,2013,Urea,t,65885
TZA,2014,Urea,t,100455
TZA,2015,Urea,t,107280
TZA,2016,Urea,t,114105
ZMB,2014,NPK fertilizers,t,177007
ZMB,2015,NPK fertilizers,t,194753
ZMB,2016,NPK fertilizers,t,139009
ZMB,2017,NPK fertilizers,t,181662
ZMB,2018,NPK fertilizers,t,133309
ZMB,2019,NPK fertilizers,t,207707
ZMB,2021,NPK fertilizers,t,199270
ZMB,2014,Urea,t,161597
ZMB,2015,Urea,t,179333
ZMB,2016,Urea,t,133371
ZMB,2017,Urea,t,179433
ZMB,2018,Urea,t,127157
ZMB,2019,Urea,t,162292
ZMB,2021,Urea,t,189249
ZWE,2017,Fertilizers n.e.c.,t,10817
ZWE,2018,Fertilizers n.e.c.,t,13373
